标题,时间,内容,来源,编辑,关键词,文章链接
《用“北斗+”打造多领域新场景》,2024-04-02 06:50:58,围绕北斗产业，湖北制定三年行动方案，明确重点在北斗算法和应用系统领域进行拓展，扩大湖北北斗在重点行业、重点区域的规模化应用。,科技日报,甄涛,传感器融合 北斗卫星 多领域 场景 物流行业,https://news.cctv.com/2024/04/02/ARTIX5swDwiYSHcjM19b3YFY240402.shtml
《新研究：与人类生活的狗具备一定词语理解能力》,2024-04-01 13:53:59,一项新的研究发现，狗能听懂人类说的话，并能像人类一样理解某个词语所指代的物品，还能将词语和物品联系起来。该研究作者之一的里拉·马加里称，你的狗懂得的东西可能比它表现出来的要多。,成都商报,及玥,研究人员 理解能力 词语 人类 研究论文 狗主人 研究发现,https://news.cctv.com/2024/04/01/ARTIB7rJodyrWFVBzG01NtAs240401.shtml
《新研究预测气候变化或将影响全球计时》,2024-04-01 13:53:30,近日在线发表于英国《自然》杂志上的一篇研究论文预测，地球两极冰加速融化正在影响地球自转速度，这将导致历史上首个负闰秒推迟三年出现。论文作者、美国加利福尼亚大学圣迭戈分校斯克里普斯海洋研究所的地球物理学家邓肯·阿格纽利用卫星数据，研究了地核运动和气候变化等对地球自转角速度的影响。,新华网,及玥,闰秒 计时系统 研究论文 全球变暖 协调世界时 气候变化 原子时 角速度,https://news.cctv.com/2024/04/01/ARTIKlSq0ZoEY7iv1GHx6JAc240401.shtml
《研究：形成长期记忆可能需要“烧脑”》,2024-04-01 11:41:51,美国爱因斯坦医学院研究人员在英国《自然》杂志刊发的新研究显示，小鼠实验表明在长期记忆形成过程中，部分脑细胞中的DNA会因外界刺激而损伤，并触发脑部炎症反应来修复，同时这类炎症反应有助巩固记忆。,新华网,罗萌,长期记忆,https://news.cctv.com/2024/04/01/ARTIBFckybqrpDGG2gM5WG35240401.shtml
《全国一体化算力体系为AI+提供强劲引擎》,2024-04-01 10:09:11,算力是支撑数字经济发展的关键基础设施，是智能时代全球性的紧缺战略资源。中国信息通信研究院院长余晓晖介绍，一方面，作为人工智能（AI）的“发动机”，强劲的算力将更为快速、深入地推进人类社会进入人工智能时代。,科技日报,宿党辉,AI 人工智能 大模型,https://news.cctv.com/2024/04/01/ARTItNJj1tkOIjNxArYTGR1b240401.shtml
《科研人员提出新的热亚矮星形成机制》,2024-04-01 06:42:30,记者31日从中国科学院云南天文台获悉，该台大样本恒星演化团组李振威博士与合作者提出了一种新的热亚矮星形成机制，为部分观测富氦热亚矮星样本提供了理论解释。,科技日报,甄涛,形成机制 氦核 新模型 红巨星 科研人员 引力波,https://news.cctv.com/2024/04/01/ARTIqCPu6sqniyF0rNcOuPUC240401.shtml
《大地磁暴为何频发 对日常生活有何影响》,2024-04-01 06:42:29,今年以来，已出现多次地磁暴过程，许多公众好奇，地磁暴是啥，为什么会发生地磁暴？为何近年来地磁暴频频发生？地磁暴对我们日常生产生活影响大吗？,中国青年报,邢斯馨,地磁暴 极光 地磁活动,https://news.cctv.com/2024/04/01/ARTItdhG3NqS2QLIjKuVEn1y240401.shtml
《湖南发现距今约5.4亿年的完整海绵化石》,2024-03-31 20:45:08,记者从湖南省地质博物馆了解到，近日该馆专业技术人员在湖南常德开展古生物化石产地野外调查时，采集到一块保存完整的寒武纪早期大型海绵化石，距今约5.4亿年，这是该馆自1958年建馆以来采集到的首枚完整的海绵化石。西北大学地质学系研究员韩健介绍，经初步鉴定，这块化石属于钱包海绵类化石，这也是云南澄江动物群（距今5.18亿年）中常见的代表性化石之一。,新华网,宿党辉,海绵化石 野外调查 寒武纪早期,https://news.cctv.com/2024/03/31/ARTInJliGnvg4vtYFKaolhq8240331.shtml
《“工位”深入海底1万米！看“奋斗者”号如何上下自如？》,2024-03-31 14:52:02,“奋斗者”号是当今世界下潜距离最深的载人潜水器之一，它如何能在10909米的深海上下自如？戳视频↑看看“奋斗者”号的抗压能力有多强？,央视新闻,罗萌,奋斗者 深海,https://news.cctv.com/2024/03/31/ARTIA8vO0EoU69MpesLtW4i4240331.shtml
《我国科学家找到调控甜樱桃硬度关键基因，可破解难储运等题》,2024-03-31 13:59:05,近日，中国农业科学院郑州果树研究所特色果树资源与育种创新团队发现控制甜樱桃果实硬度的关键基因，相关研究成果发表在《植物生物技术（Plant Biotechnology Journal）》上。,澎湃新闻,陈诗文,甜樱桃 基因失活,https://news.cctv.com/2024/03/31/ARTIAR9xhcq7SXBwJC2KXVei240331.shtml
《星空有约｜我国发现的这颗彗星有望成今年最亮彗星》,2024-03-31 12:50:41,近期，12P/Pons-Brooks彗星（以下简称12P彗星）引发全球关注，很多人通过一张张高清大图认识了这位神秘的“天外来客”。,新华网,郭倩,彗星 星空,https://news.cctv.com/2024/03/31/ARTI36pAzPy67FmCrABnG7mC240331.shtml
《我科学家在量子纠缠研究中取得重要进展》,2024-03-31 10:45:52,日前，中国科学技术大学郁司夏、孙亮亮、周祥与安徽大学许振朋以及瑞典隆德大学研究人员合作，发现原本只是探测纠缠有无的实验数据可以用来估计纠缠大小。,光明日报,及玥,纠缠态 量子纠缠 量子态 量子信息 目击者 科学家,https://news.cctv.com/2024/03/31/ARTIPy5mEAl3NhXGpqISUibN240331.shtml
《“祥云”AS700载人飞艇成功完成首次转场飞行》,2024-03-31 10:29:44,湖北荆门漳河机场上空，3月30日清晨迎来了一幕历史性的飞行。据航空工业公众号消息，由航空工业自主研发的“祥云”AS700民用载人飞艇于7时4分轻盈起飞，经过1小时46分钟的稳定航行，顺利降落在荆州沙市通用机场，标志着其首次转场飞行任务圆满完成。此次飞行不仅全面验证了飞艇的性能及机组操作能力，也为未来长距离飞行奠定了坚实基础。,央视网,郭倩,“祥云”AS700载人飞艇,https://news.cctv.com/2024/03/31/ARTIYli01xngK4iHIBtUNZAV240331.shtml
《大科学装置建设稳步推进 成果持续涌现》,2024-03-30 20:01:53,我国大科学装置建设稳步推进，科研成果持续涌现，创新支撑发展能力不断增强。,央视网,谢博韬,大科学装置 成果,https://news.cctv.com/2024/03/30/ARTIzwjZUvHpA5swJXc89b65240330.shtml
《“超级显微镜”更新了！中国散裂中子源二期工程启动建设》,2024-03-30 14:03:53,国家重大科技基础设施中国散裂中子源二期工程在广东东莞启动建设，建设周期为5年9个月。,中央广播电视总台央视新闻,高士佳,散裂 中子源 二期工程 实验精度,https://news.cctv.com/2024/03/30/ARTIC5luKscHGE0YABLQmrwG240330.shtml
《1.27万亿元！医学装备“中国造”创新高》,2024-03-30 06:20:08,一台手术机器人，在人工智能程序下自动剥开一颗鹌鹑蛋；一款AR眼镜，让医生的视野在手术中实现患者血管三维导航……29日，2024中国医学装备大会在重庆开幕，来自国内外的高端医学装备吸引人驻足，充满未来感的装备引发赞叹。,新华网,黄佐春,质子治疗 医学研究 医学科研 创新高 中国出口 中国造 井喷 手术 患者 新质,https://news.cctv.com/2024/03/30/ARTI84AP4NwpiEo8AVlw5EKG240330.shtml
